공고_ID,기업명,공고_제목,직무명,시작일,마감일,기업_분류,근무지,문항_개수,문항_질문,문항_글자수,URL,포스터,공고_본문,수집일시,회사_로고,채용_형태
102200,티머니,2026년 신입사원 모집,카드사업팀,2026년 1월 27일 10:00,2026년 2월 4일 17:00,대기업,서울 중구 후암로 110,5,"1. 티머니에 대해 알고 있는 내용 중 가장 관심 있는 내용과 지원하게 된 동기에 대하여 기술하여 주십시오.(400-600) | 2. 지원 분야를 선택한 이유와 관련된 귀하의 경험 또는 노력에 대해 기술하여 주십시오.(800-1200) | 3. '나'를 표현할 수 있는 한 단어를 선택하고, 귀하에 대해 기술하여 주십시오.(400-600) | 4. 티머니의 인재상(Teamwork, Excellence, Ambitious Challenge, Mutual Trust) 중 가장 중요하다고 생각되는 요소에 대해
  귀하의 가치관이나 사례를 중심으로 기술하여 주십시오.(400-600) | 5. [추가선택사항] 추가로 면접관이 질문해 주었으면 좋겠다고 생각하는 내용이 있으면, 질문/답변을 자율적으로 기술하여 주십시오.(0-500)",600 | 1200 | 600 | 600 | 500,https://jasoseol.com/recruit/102200,https://daoift3qrrnil.cloudfront.net/content_images/images/000/339/364/webp/image.webp?1769152538,,2026-02-03 10:43,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/007/855/webp/%ED%8B%B0%EB%A8%B8%EB%8B%88_%EB%A1%9C%EA%B3%A0.webp?1684487736,"신입, 신입, 신입, 신입"
102200,티머니,2026년 신입사원 모집,IT보안/기획팀,2026년 1월 27일 10:00,2026년 2월 4일 17:00,대기업,서울 중구 후암로 110,5,"1. 티머니에 대해 알고 있는 내용 중 가장 관심 있는 내용과 지원하게 된 동기에 대하여 기술하여 주십시오.(400-600) | 2. 지원 분야를 선택한 이유와 관련된 귀하의 경험 또는 노력에 대해 기술하여 주십시오.(800-1200) | 3. '나'를 표현할 수 있는 한 단어를 선택하고, 귀하에 대해 기술하여 주십시오.(400-600) | 4. 티머니의 인재상(Teamwork, Excellence, Ambitious Challenge, Mutual Trust) 중 가장 중요하다고 생각되는 요소에 대해
  귀하의 가치관이나 사례를 중심으로 기술하여 주십시오.(400-600) | 5. [추가선택사항] 추가로 면접관이 질문해 주었으면 좋겠다고 생각하는 내용이 있으면, 질문/답변을 자율적으로 기술하여 주십시오.(0-500)",600 | 1200 | 600 | 600 | 500,https://jasoseol.com/recruit/102200,https://daoift3qrrnil.cloudfront.net/content_images/images/000/339/364/webp/image.webp?1769152538,,2026-02-03 10:43,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/007/855/webp/%ED%8B%B0%EB%A8%B8%EB%8B%88_%EB%A1%9C%EA%B3%A0.webp?1684487736,"신입, 신입, 신입, 신입"
102200,티머니,2026년 신입사원 모집,태그리스 솔루션팀,2026년 1월 27일 10:00,2026년 2월 4일 17:00,대기업,서울 중구 후암로 110,5,"1. 티머니에 대해 알고 있는 내용 중 가장 관심 있는 내용과 지원하게 된 동기에 대하여 기술하여 주십시오.(400-600) | 2. 지원 분야를 선택한 이유와 관련된 귀하의 경험 또는 노력에 대해 기술하여 주십시오.(800-1200) | 3. '나'를 표현할 수 있는 한 단어를 선택하고, 귀하에 대해 기술하여 주십시오.(400-600) | 4. 티머니의 인재상(Teamwork, Excellence, Ambitious Challenge, Mutual Trust) 중 가장 중요하다고 생각되는 요소에 대해
  귀하의 가치관이나 사례를 중심으로 기술하여 주십시오.(400-600) | 5. [추가선택사항] 추가로 면접관이 질문해 주었으면 좋겠다고 생각하는 내용이 있으면, 질문/답변을 자율적으로 기술하여 주십시오.(0-500)",600 | 1200 | 600 | 600 | 500,https://jasoseol.com/recruit/102200,https://daoift3qrrnil.cloudfront.net/content_images/images/000/339/364/webp/image.webp?1769152538,,2026-02-03 10:43,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/007/855/webp/%ED%8B%B0%EB%A8%B8%EB%8B%88_%EB%A1%9C%EA%B3%A0.webp?1684487736,"신입, 신입, 신입, 신입"
102200,티머니,2026년 신입사원 모집,정산운영팀 (보훈대상자 전용),2026년 1월 27일 10:00,2026년 2월 4일 17:00,대기업,서울 중구 후암로 110,5,"1. 티머니에 대해 알고 있는 내용 중 가장 관심 있는 내용과 지원하게 된 동기에 대하여 기술하여 주십시오.(400-600) | 2. 지원 분야를 선택한 이유와 관련된 귀하의 경험 또는 노력에 대해 기술하여 주십시오.(800-1200) | 3. '나'를 표현할 수 있는 한 단어를 선택하고, 귀하에 대해 기술하여 주십시오.(400-600) | 4. 티머니의 인재상(Teamwork, Excellence, Ambitious Challenge, Mutual Trust) 중 가장 중요하다고 생각되는 요소에 대해
  귀하의 가치관이나 사례를 중심으로 기술하여 주십시오.(400-600) | 5. [추가선택사항] 추가로 면접관이 질문해 주었으면 좋겠다고 생각하는 내용이 있으면, 질문/답변을 자율적으로 기술하여 주십시오.(0-500)",600 | 1200 | 600 | 600 | 500,https://jasoseol.com/recruit/102200,https://daoift3qrrnil.cloudfront.net/content_images/images/000/339/364/webp/image.webp?1769152538,,2026-02-03 10:43,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/007/855/webp/%ED%8B%B0%EB%A8%B8%EB%8B%88_%EB%A1%9C%EA%B3%A0.webp?1684487736,"신입, 신입, 신입, 신입"
102201,LG생활건강,디자인센터 CVC 인턴십,디자인,2026년 1월 23일 16:13,2026년 2월 4일 10:00,대기업,서울 종로구 새문안로 58,1,"1. 본인에 대해서 1 Page이내로 자유롭게 소개 해 주시기 바랍니다. (지원 동기, 자신의 강점, 지원 분야 관련 경험, 포부 등)",제한 없음,https://jasoseol.com/recruit/102201,https://daoift3qrrnil.cloudfront.net/content_images/images/000/339/368/webp/2026_CVC%EC%9D%B8%ED%84%B4%EC%8B%AD_%EC%B1%84%EC%9A%A9%EA%B3%B5%EA%B3%A0%EB%AC%B8_F.webp?1769152651,,2026-02-03 10:44,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/000/021/webp/2560px-LG_Household___Health_Care_logo_%28korean%29.svg.webp?1698989473,인턴
102202,에이피알,[마케팅] 메디큐브 미국 틱톡샵 어필리에이트 마케팅 채용연계형 인턴사원 모집,메디큐브 미국 틱톡샵 어필리에이트 마케팅,,,,"서울시 송파구 올림픽로 300, 36층/27층",3,"1. 본인이 해당 직무에 적합하다고 판단하는 이유와 근거를 구체적으로 작성해주세요(글자수 제한 없음) | 2. 에이피알이 지향하는 4가지 인재상(Make it, Grow up, Work Together, Customer Success) 중에서 하나를 선택하고, 해당 핵심가치와 부합하는 경험 또는 성과를 구체적으로 작성해주세요(글자수 제한 없음) | 3. 에이피알에 지원한 동기와 입사 후 이루고자 하는 목표 및 포부를 작성해주세요(글자수 제한 없음)",10000 | 10000 | 10000,https://jasoseol.com/recruit/102202,https://daoift3qrrnil.cloudfront.net/content_images/images/000/339/372/webp/%EB%A7%88%EC%BC%80%ED%8C%85-%EB%A9%94%EB%94%94%ED%81%90%EB%B8%8C-%EB%AF%B8%EA%B5%AD-%ED%8B%B1%ED%86%A1%EC%83%B5-%EC%96%B4%ED%95%84%EB%A6%AC%EC%97%90%EC%9D%B4%ED%8A%B8-%EB%A7%88%EC%BC%80%ED%8C%85-%EC%B1%84%EC%9A%A9%EC%97%B0%EA%B3%84%ED%98%95-%EC%9D%B8%ED%84%B4%EC%82%AC%EC%9B%90-%EB%AA%A8%EC%A7%91-%EC%97%90%EC%9D%B4%ED%94%BC%EC%95%8C-01-23-2026_04_09_PM.webp?1769152974,,2026-02-03 10:44,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/006/158/webp/%EC%9E%90%EC%82%B0_1_2x.webp?1684487245,인턴
102203,김앤장 법률사무소,"비서, 빌링, 스탭 채용",비서,2026년 1월 23일 16:14,2026년 2월 1일 23:59,대기업,서울 종로구 사직로8길 39,1,자유양식 입니다.(지원부문 명시 필수),제한 없음,https://jasoseol.com/recruit/102203,https://daoift3qrrnil.cloudfront.net/content_images/images/000/339/379/webp/%EA%B9%80.%EC%9E%A5_%EB%B2%95%EB%A5%A0%EC%82%AC%EB%AC%B4%EC%86%8C_%EB%B9%84%EC%84%9C_%EB%B9%8C%EB%A7%81_%EC%8A%A4%ED%83%AD.webp?1769153841,,2026-02-03 10:45,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/542/webp/%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%8C%E1%85%A1%E1%86%BC.webp?1684485507,"신입/경력, 신입/경력, 신입/경력"
102203,김앤장 법률사무소,"비서, 빌링, 스탭 채용",빌링,2026년 1월 23일 16:14,2026년 2월 1일 23:59,대기업,서울 종로구 사직로8길 39,1,자유양식 입니다.(지원부문 명시 필수),제한 없음,https://jasoseol.com/recruit/102203,https://daoift3qrrnil.cloudfront.net/content_images/images/000/339/379/webp/%EA%B9%80.%EC%9E%A5_%EB%B2%95%EB%A5%A0%EC%82%AC%EB%AC%B4%EC%86%8C_%EB%B9%84%EC%84%9C_%EB%B9%8C%EB%A7%81_%EC%8A%A4%ED%83%AD.webp?1769153841,,2026-02-03 10:45,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/542/webp/%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%8C%E1%85%A1%E1%86%BC.webp?1684485507,"신입/경력, 신입/경력, 신입/경력"
102203,김앤장 법률사무소,"비서, 빌링, 스탭 채용",스탭,2026년 1월 23일 16:14,2026년 2월 1일 23:59,대기업,서울 종로구 사직로8길 39,1,자유양식 입니다.(지원부문 명시 필수),제한 없음,https://jasoseol.com/recruit/102203,https://daoift3qrrnil.cloudfront.net/content_images/images/000/339/379/webp/%EA%B9%80.%EC%9E%A5_%EB%B2%95%EB%A5%A0%EC%82%AC%EB%AC%B4%EC%86%8C_%EB%B9%84%EC%84%9C_%EB%B9%8C%EB%A7%81_%EC%8A%A4%ED%83%AD.webp?1769153841,,2026-02-03 10:45,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/542/webp/%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%8C%E1%85%A1%E1%86%BC.webp?1684485507,"신입/경력, 신입/경력, 신입/경력"
102206,어니스트리,멀티채널 영업,[GC그룹 어니스트리] 멀티채널 영업,2026년 1월 23일 16:00,2026년 2월 1일 23:59,,"서울 성동구 왕십리로 241, 4층 (행당동,서울숲더샵)",6,현직장(또는 전직장)에서의 동료들은 나를 어떤 사람으로 평가하고 있는지 기술하시오.(최소글자100~최대글자 1000) | 지원한 직무를 통해 이루고 싶은 나의 목표는 무엇인가요?(최소글자100~최대글자 1000) | 현재까지 쌓은 경력 중 성과를 도출하였던 프로젝트에 대해 기술하시오.(최소글자100~최대글자 1000) | 본인의 강점과 연관하여 지원동기를 기술하시오.(최소글자100~최대글자 1000) | 자신의 한계점에 도전해 본 경험은 무엇인가요?(최소글자100~최대글자 1000) | 협력하여 목표를 달성했거나 어려움을 극복한 사례가 있다면 기술하시오.(최소글자100~최대글자 1000),1000 | 1000 | 1000 | 1000 | 1000 | 1000,https://jasoseol.com/recruit/102206,https://daoift3qrrnil.cloudfront.net/content_images/images/000/339/387/webp/%EB%A9%80%ED%8B%B0%EC%B1%84%EB%84%90.webp?1769155084,,2026-02-03 10:45,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/015/362/webp/%EC%96%B4%EB%8B%88%EC%8A%A4%ED%8A%B8%EB%A6%AC_%EB%A1%9C%EA%B3%A0.webp?1715328078,경력
